DATE,PRCP,SNOW,SNWD,TMAX,TMIN,AWND,PGTM,TAVG,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,warning,closed,work call early release ,delayed report
11/21/2013,30,46,30,72,-105,67,,-12,350,360,116,143,1,,,,,,,,,,0,1,0,0
11/22/2013,10,20,0,-10,-71,25,,-61,10,10,94,112,,,,,,,,,,,0,1,0,0
11/23/2013,0,0,30,-16,-55,42,,-28,160,170,76,94,,,,,,,,,,,,,,
11/24/2013,25,33,30,22,-66,42,,-51,350,350,183,237,,,,,,,,,,,,,,
11/25/2013,0,0,30,28,-21,67,,11,340,330,192,237,,,,,,,,,,,,,,
11/26/2013,0,0,30,78,-43,36,,16,20,350,94,125,,,,,,,,,,,,,,
11/27/2013,0,0,0,128,-55,30,,23,360,340,54,63,,,,,,,,,,,,,,
11/28/2013,0,0,0,56,-55,33,,21,140,150,63,72,,,,,,,,,,,,,,
11/29/2013,0,0,0,150,-66,37,,30,320,310,94,130,,,,,,,,,,,,,,
11/30/2013,0,0,0,128,-27,26,,53,160,160,54,63,,,,,,,,,,,,,,
12/1/2013,0,0,0,144,-16,58,,46,290,290,179,224,,,,,,,,,,,,,,
12/2/2013,0,0,0,144,39,59,,98,300,310,174,228,,,,,,,,,,,,,,
12/3/2013,0,0,0,156,-82,53,,85,260,270,161,179,,,,,,,,,,,,,,
12/4/2013,15,28,0,-77,-177,51,,-96,360,360,103,130,1,,,,,,,,,,,,,
12/5/2013,0,3,30,-143,-216,36,,-166,160,150,94,107,,,,,,,,,,,,,,
12/6/2013,0,0,30,-138,-221,34,,-180,180,170,67,81,,,,,,,,,,,,,,
12/7/2013,3,38,50,-138,-193,30,,-161,150,160,58,72,,,,,,,,,,,,,,
12/8/2013,0,5,80,-38,-171,24,,-138,140,140,72,81,,,,,,,,,,,,,,
12/9/2013,0,0,80,-77,-160,26,,-124,80,110,67,85,1,,,,,,,,,,,,,
12/10/2013,0,0,0,78,-149,60,,-51,350,300,161,215,,,,,,,,,,,,,,
12/11/2013,0,0,0,-21,-110,31,,-51,150,190,67,85,,,,,,,,,,,,,,
12/12/2013,0,0,0,139,-71,30,,6,340,340,58,63,,,,,,,,,,,,,,
12/13/2013,0,0,0,100,-32,59,,27,30,30,125,143,,,,,,,,,,,,,,
12/14/2013,0,0,0,44,-71,26,,-2,340,330,67,85,,,,,,,,,,,,,,
12/15/2013,0,0,0,128,-55,32,,15,310,320,94,125,,,,,,,,,,,,,,
12/16/2013,0,0,0,167,-5,37,,82,10,260,89,112,,,,,,,,,,,,,,
12/17/2013,0,0,0,128,-32,27,,42,30,30,63,67,,,,,,,,,,,,,,
12/18/2013,0,0,0,183,17,22,,88,350,350,81,112,,,,,,,,,,,,,,
12/19/2013,0,0,0,144,-49,51,,88,350,360,134,161,1,,,,,,,,,,,,,
12/20/2013,0,0,0,-32,-66,24,,-39,170,180,67,76,,,,,,,,,,,,,,
12/21/2013,0,0,0,56,-77,46,,-30,20,20,94,103,,,,,,,,,,,,,,
12/22/2013,0,0,0,28,-99,40,,-39,140,140,94,112,,,,,,,,,,,,,,
12/23/2013,0,0,0,11,-99,25,,-55,360,360,103,125,,,,,,,,,,,,,,
12/24/2013,0,0,0,128,-60,60,,36,20,30,170,201,,,,,,,,,,,,,,
12/25/2013,0,0,0,44,-110,31,,-24,150,150,67,76,,,,,,,,,,,,,,
12/26/2013,0,0,0,122,-82,45,,19,20,20,112,125,,,,,,,,,,,,,,
12/27/2013,0,0,0,139,-71,27,,18,10,10,54,58,,,,,,,,,,,,,,
12/28/2013,0,0,0,167,-43,64,,45,20,30,148,188,1,,,,,,,,,,,,,
12/29/2013,0,0,0,-32,-77,45,,-37,330,330,116,143,1,,,,,,,,,,,,,
12/30/2013,0,0,0,67,-77,34,,-3,360,360,76,94,,,,,,,,,,,,,,
12/31/2013,0,0,0,139,-71,35,,32,50,290,72,94,,,,,,,,,,,,,,
1/1/2014,0,0,0,56,-60,70,,12,360,350,157,188,,,,,,,,,,,,,,
1/2/2014,0,0,0,67,-88,23,,-19,50,140,63,76,,,,,,,,,,,,,,
1/3/2014,0,0,0,161,-32,37,,45,310,320,116,161,,,,,,,,,,,,,,
1/4/2014,46,89,50,61,-166,55,,-1,60,50,139,161,,,,,,,,,,,,,,
1/5/2014,0,0,100,-71,-188,46,,-126,350,10,103,121,1,,,,,,,,,,,,,
1/6/2014,0,0,100,0,-232,18,,-143,330,330,63,76,1,,,,,,,,,,,,,
1/7/2014,0,0,50,72,-27,36,,-1,350,10,81,103,,,,,,,,,,,,,,
1/8/2014,0,0,50,22,-60,34,,7,340,340,98,116,,,,,,,,,,,,,,
1/9/2014,0,0,50,89,-99,24,,-13,130,240,63,89,,,,,,,,,,,,,,
1/10/2014,0,0,0,56,-66,83,,12,300,310,157,210,,,,,,,,,,,,,,
1/11/2014,0,0,0,133,-66,37,,13,210,360,94,125,,,,,,,,,,,,,,
1/12/2014,0,0,0,117,-82,52,,58,350,350,197,255,,,,,,,,,,,,,,
1/13/2014,0,0,0,100,-88,77,,16,310,300,148,192,,,,,,,,,,,,,,
1/14/2014,0,0,0,28,-93,50,,4,10,10,107,130,,,,,,,,,,,,,,
1/15/2014,0,0,0,144,-99,35,,-6,300,300,89,116,,,,,,,,,,,,,,
1/16/2014,0,0,0,61,-66,32,,22,170,160,81,94,,,,,,,,,,,,,,
1/17/2014,0,0,0,106,-93,25,,2,150,150,58,81,,,,,,,,,,,,,,
1/18/2014,0,0,0,144,-32,43,,40,20,30,94,116,,,,,,,,,,,,,,
1/19/2014,0,0,0,172,-43,30,,62,360,360,63,67,,,,,,,,,,,,,,
1/20/2014,0,0,0,89,-71,53,,46,20,10,143,165,,,,,,,,,,,,,,
1/21/2014,0,0,0,178,-88,41,,23,300,300,98,130,,,,,,,,,,,,,,
1/22/2014,10,15,0,61,-71,36,,12,100,90,81,94,1,,,,,,,,,,,,,
1/23/2014,13,66,80,-55,-166,30,,-86,150,150,76,85,1,,,,,,,,,,,,,
1/24/2014,0,0,50,122,-127,32,,-26,330,320,63,76,,,,,,,,,,,,,,
1/25/2014,0,0,0,133,-21,40,,57,350,150,76,85,,,,,,,,,,,,,,
1/26/2014,0,0,0,150,-60,59,,57,20,30,148,192,,,,,,,,,,,,,,
1/27/2014,48,89,30,-49,-132,47,,-75,160,150,89,107,,,,,,,,,,,,,,
1/28/2014,0,0,80,-55,-193,26,,-119,10,20,45,54,1,,,,,,,,,,,,,
1/29/2014,0,0,50,94,-132,31,,-52,160,60,94,121,,,,,,,,,,,,,,
1/30/2014,10,8,0,117,-32,63,,50,280,280,228,277,1,,,,,,,,,,,,,
1/31/2014,43,79,80,-32,-82,26,,-43,100,110,63,72,,,,,,,,,,,1,0,0,0
2/1/2014,10,15,80,-27,-116,34,,-54,350,350,67,76,1,,,,,,,,,,,,,
2/2/2014,0,0,100,-55,-177,13,,-108,30,10,40,45,,,,,,,,,,,,,,
2/3/2014,0,0,50,17,-116,27,,-62,40,40,63,72,,,,,,,,,,,,,,
2/4/2014,20,41,50,-55,-188,43,,-67,350,350,98,125,1,,,,,,,,,,1,0,0,0
2/5/2014,5,5,100,-171,-238,39,,-184,160,160,72,85,1,,,,,,,,,,,,,
2/6/2014,0,0,100,-166,-260,13,,-221,320,170,40,58,,,,,,,,,,,,,,
2/7/2014,0,0,100,39,-193,28,,-89,340,330,76,94,,,,,,,,,,,,,,
2/8/2014,0,0,80,106,-71,43,,16,300,300,116,165,,,,,,,,,,,,,,
2/9/2014,0,0,0,50,-77,28,,-13,130,140,67,81,,,,,,,,,,,,,,
2/10/2014,3,5,0,-5,-66,11,,-43,180,180,54,58,,,,,,,,,,,,,,
2/11/2014,0,0,0,39,-77,30,,-19,310,310,72,98,,,,,,,,,,,,,,
2/12/2014,0,0,0,94,-60,45,,-4,300,320,134,170,,,,,,,,,,,,,,
2/13/2014,0,0,0,156,39,69,,82,300,290,161,219,,,,,,,,,,,,,,
2/14/2014,0,0,0,72,-27,46,,39,330,340,98,121,1,,,,,,,,,,,,,
2/15/2014,0,0,0,178,-10,81,,88,300,310,170,259,,,,,,,,,,,,,,
2/16/2014,0,0,0,189,-5,53,,56,310,310,148,206,1,,,,,,,,,,,,,
2/17/2014,0,0,0,161,0,64,,88,300,310,174,228,,,,,,,,,,,,,,
2/18/2014,0,0,0,172,11,66,,119,320,320,157,197,,,,,,,,,,,,,,
2/19/2014,18,20,0,150,-32,47,,48,10,20,170,197,1,,,,,,,,,,,,,
2/20/2014,0,0,0,17,-77,72,,-8,360,360,170,201,,,,,,,,,,,,,,
2/21/2014,0,0,0,106,-55,71,,31,290,290,170,237,,,,,,,,,,,,,,
2/22/2014,0,0,0,122,-32,51,,46,260,270,148,179,,,,,,,,,,,,,,
2/23/2014,0,0,0,67,-66,39,,-1,150,140,72,85,1,,,,,,,,,,,,,
2/24/2014,0,0,0,172,-60,44,,29,360,360,134,161,,,,,,,,,,,,,,
2/25/2014,0,0,0,106,-105,53,,-24,340,350,125,148,,,,,,,,,,,,,,
2/26/2014,0,0,0,89,-132,31,,-44,150,160,76,103,,,,,,,,1,,,,,,
2/27/2014,0,0,0,156,-49,41,,26,210,200,107,121,,,,,,,,,,,,,,
2/28/2014,0,0,0,156,-38,42,,92,70,320,107,130,1,,,,,,,,,,,,,
3/1/2014,8,0,0,-32,-116,46,,-28,170,150,94,103,,,,,,,,,,,,,,
3/2/2014,0,8,0,-49,-143,22,,-107,160,170,58,63,,,,,,,,,,,,,,
3/3/2014,0,0,0,150,-99,24,,3,300,290,81,107,1,,,,,,,,,,,,,
3/4/2014,0,0,0,133,-10,47,,56,360,350,125,174,,,,,,,,,,,,,,
3/5/2014,0,0,0,117,-21,34,,47,340,330,89,112,,,,,,,,,,,,,,
3/6/2014,0,0,0,183,-38,30,,74,310,310,94,116,,,,,,,,,,,,,,
3/7/2014,74,38,0,122,0,54,,84,10,10,103,125,1,,,,,,,,,,,,,
3/8/2014,0,0,50,89,-32,45,,21,10,330,103,130,1,,,,,,,,,,,,,
3/9/2014,0,0,0,200,-32,37,,69,360,360,72,76,,,,,,,,,,,,,,
3/10/2014,0,0,0,228,33,34,,129,210,220,107,134,,,,,,,,,,,,,,
3/11/2014,0,0,0,133,-55,86,,87,10,350,192,228,,,,,,,,,1,,,,,
3/12/2014,0,0,0,100,-88,26,,-14,150,150,58,72,,,,,,,,,,,,,,
3/13/2014,0,0,0,172,-66,49,,46,300,300,125,165,,,,,,,,,,,,,,
3/14/2014,0,0,0,133,-10,61,,79,160,160,116,170,,,,,,,,,,,,,,
3/15/2014,0,0,0,100,-16,93,,70,20,30,174,210,,,,,,,,,,,,,,
3/16/2014,0,0,0,167,-66,30,,33,30,10,94,139,,,,,,,,,,,,,,
3/17/2014,0,0,0,200,-16,64,,74,250,260,233,295,,,,,,,,,,,,,,
3/18/2014,0,0,0,33,-38,95,,33,350,340,206,255,,,,,,,,,,,,,,
3/19/2014,0,0,0,111,-88,33,,3,120,120,76,94,,,,,,,,,,,,,,
3/20/2014,0,0,0,206,-10,54,,75,300,300,143,179,,,,,,,,,,,,,,
3/21/2014,0,0,0,106,-16,53,,79,10,350,112,139,,,,,,,,,,,,,,
3/22/2014,25,25,0,-5,-55,43,,-19,170,170,89,103,,,,,,,,,,,,,,
3/23/2014,0,0,30,72,-60,31,,-30,340,340,125,152,,,,,,,,,,,,,,
3/24/2014,0,0,0,61,-43,48,,12,360,360,165,192,,,,,,,,,,,,,,
3/25/2014,0,0,0,100,-60,36,,12,140,150,94,112,,,,,,,,,,,,,,
3/26/2014,0,0,0,189,-21,48,,75,260,270,174,210,,,,,,,,,,,,,,
3/27/2014,0,0,0,128,11,62,,87,300,290,165,206,,,,,,,,,,,,,,
3/28/2014,0,0,0,133,-16,64,,63,360,350,125,148,,,,,,,,,,,,,,
3/29/2014,0,0,0,194,-38,36,,61,280,130,98,130,,,,,,,,,,,,,,
3/30/2014,0,0,0,189,22,80,,126,270,220,201,250,,,,,,,,,,,,,,
3/31/2014,0,0,0,156,-5,86,,96,280,270,206,300,,,,,,,,,,,,,,
4/1/2014,0,0,0,178,-27,61,,49,220,220,148,188,,,,,,,,1,,,,,,
4/2/2014,5,0,0,172,-43,59,,66,250,240,174,201,,,,,,,,,,,,,,
4/3/2014,124,152,100,33,-38,54,,26,350,350,139,174,,,,,,,,,,,,,,
4/4/2014,0,0,50,94,-77,33,,2,150,150,94,134,1,,,,,,,,,,,,,
4/5/2014,0,0,0,117,-10,30,,48,50,50,107,130,,,,,,,,,,,,,,
4/6/2014,5,0,0,117,-5,44,,54,320,280,116,165,,,,,,,,,,,,,,
4/7/2014,3,0,0,111,6,66,,44,350,360,139,174,,,,,,,,,,,,,,
4/8/2014,0,0,0,189,-21,26,,74,190,200,72,94,,,,,,,,,,,,,,
4/9/2014,0,0,0,250,33,48,,147,300,300,130,161,,,,,,,,,,,,,,
4/10/2014,0,0,0,183,67,51,,133,160,160,125,174,,,,,,,,,,,,,,
4/11/2014,0,0,0,256,22,44,,136,240,250,112,134,,,,,,,,,,,,,,
4/12/2014,5,0,0,217,89,44,,176,340,340,157,197,,,,,,,,,,,,,,
4/13/2014,46,38,0,89,-66,87,,56,360,360,174,201,,,,,,,,,,,,,,
4/14/2014,0,0,50,39,-77,43,,-37,350,350,103,125,1,,,,,,,,,,,,,
4/15/2014,0,0,0,178,-55,34,,41,200,320,98,125,,,,,,,,,,,,,,
4/16/2014,41,0,0,133,11,52,,97,20,10,125,143,1,,,,,,,,,,,,,
4/17/2014,0,0,0,128,0,51,,36,170,180,98,116,,,,,,,,,,,,,,
4/18/2014,0,0,0,244,0,44,,109,160,160,125,157,,,,,,,,,,,,,,
4/19/2014,0,0,0,200,89,51,,151,40,40,125,148,,,,,,,,,,,,,,
4/20/2014,0,0,0,211,78,50,,134,340,340,107,139,,,,,,,,,,,,,,
4/21/2014,0,0,0,183,72,57,,132,340,330,148,183,,,,,,,,,,,,,,
4/22/2014,0,0,0,250,39,46,,136,210,240,134,192,,,,,,,,,,,,,,
4/23/2014,0,0,0,233,33,81,,171,40,30,165,201,,,,,,,,,,,,,,
4/24/2014,0,0,0,172,6,44,,83,150,140,112,174,,,,,,,,,,,,,,
4/25/2014,0,0,0,228,33,53,,126,150,140,116,152,,,,,,,,,,,,,,
4/26/2014,0,0,0,228,67,57,,161,210,210,134,165,,,,,,,,,,,,,,
4/27/2014,0,0,0,133,28,95,,93,340,340,183,224,,,,,,,,,,,,,,
4/28/2014,0,0,0,122,6,73,,69,10,10,170,219,,,,,,,,,,,,,,
4/29/2014,5,0,0,117,0,94,,60,360,360,165,197,1,,,,,,,,,,,,,
4/30/2014,0,0,0,111,-5,99,,43,10,10,170,219,,,,,,,,,,,,,,
5/1/2014,0,0,0,150,-5,62,,65,10,350,157,192,,,,,,,,,,,,,,
5/2/2014,0,0,0,228,-16,38,,108,10,360,103,130,,,,,,,,,,,,,,
5/3/2014,0,0,0,267,61,28,,167,280,130,67,89,,,,,,,,,,,,,,
5/4/2014,0,0,0,278,89,51,,184,240,230,157,201,,,,,,,,,,,,,,
5/5/2014,0,0,0,272,128,43,,216,180,210,125,148,,,,,,,,,,,,,,
5/6/2014,0,0,0,250,78,52,,174,160,160,125,157,,,,,,,,,,,,,,
5/7/2014,0,0,0,217,56,59,,166,120,130,170,228,,,1,,,,,,,,,,,
5/8/2014,43,0,0,144,17,41,,88,360,360,107,130,1,,,,,,,,,,,,,
5/9/2014,0,0,0,189,0,35,,74,230,230,103,139,,,,,,,,,,,,,,
5/10/2014,0,0,0,222,39,61,,132,10,160,134,210,,,,,,,,,,,,,,
5/11/2014,18,10,0,89,0,92,,68,330,330,157,206,1,,,,,,,,,,,,,
5/12/2014,0,0,0,39,-5,91,,10,10,350,157,188,1,,,,,,,,,,,,,
5/13/2014,0,0,0,94,-10,55,,32,20,10,112,143,,,,,,,,,,,,,,
5/14/2014,0,0,0,144,-5,46,,65,360,360,170,201,,,,,,,,,,,,,,
5/15/2014,18,0,0,161,11,26,,85,330,320,89,130,,,,,,,,,,,,,,
5/16/2014,3,0,0,228,28,46,,118,40,50,130,152,,,1,,,,,,,,,,,
5/17/2014,3,0,0,206,67,39,,118,80,170,67,94,,,1,,,,,,,,,,,
5/18/2014,0,0,0,261,56,31,,140,160,150,107,134,,,,,,,,,,,,,,
5/19/2014,0,0,0,289,100,48,,213,350,350,130,174,,,,,,,,,,,,,,
5/20/2014,0,0,0,256,100,56,,184,350,340,161,201,,,,,,,,,,,,,,
5/21/2014,5,0,0,228,111,45,,174,160,160,179,246,,,,,,,,,,,,,,
5/22/2014,0,0,0,228,94,50,,155,170,150,125,157,,,,,,,,,,,,,,
5/23/2014,155,0,0,206,67,48,,142,120,130,130,165,,,1,,,,,,,,,,,
5/24/2014,135,0,0,206,100,37,,142,110,110,170,237,,,,,,,,,,,,,,
5/25/2014,0,0,0,211,83,40,,138,250,250,134,152,,,,,,,,,,,,,,
5/26/2014,64,0,0,217,106,47,,159,340,340,107,148,,,,,,,,,,,,,,
5/27/2014,0,0,0,283,106,51,,191,40,20,116,139,,,,,,,,,,,,,,
5/28/2014,0,0,0,289,106,40,,206,120,130,94,112,,,,,,,,,,,,,,
5/29/2014,38,0,0,283,111,40,,208,300,330,112,134,,,1,,,,,,,,,,,
5/30/2014,84,0,0,239,128,44,,179,180,180,116,152,,,1,,,,,,,,,,,
5/31/2014,86,0,0,256,94,36,,169,310,310,139,174,,,,,,,,,,,,,,
6/1/2014,0,0,0,289,117,36,,200,250,280,112,148,,,,,,,,,,,,,,
6/2/2014,0,0,0,272,133,50,,192,170,170,112,134,,,,,,,,,,,,,,
6/3/2014,0,0,0,322,117,58,,218,220,210,143,188,,,,,,,,,,,,,,
6/4/2014,0,0,0,283,106,56,,224,130,170,116,148,,,,,,,,,,,,,,
6/5/2014,20,0,0,267,128,61,,202,80,80,143,188,,,,,,,,,,,,,,
6/6/2014,5,0,0,250,133,41,,182,20,20,165,197,,,1,,,,,,,,,,,
6/7/2014,15,0,0,183,100,39,,153,150,50,125,143,,,,,,,,,,,,,,
6/8/2014,124,0,0,206,78,79,,142,340,250,157,219,,,,,,,,,,,,,,
6/9/2014,0,0,0,200,61,84,,117,340,330,148,192,,,,,,,,,,,,,,
6/10/2014,0,0,0,272,50,29,,159,220,230,116,157,,,1,,,,,,,,,,,
6/11/2014,122,0,0,278,128,50,,197,300,300,161,201,,,,,,,,,,,,,,
6/12/2014,13,0,0,222,106,53,,147,170,160,98,134,,,,,,,,,,,,,,
6/13/2014,0,0,0,306,78,42,,178,210,200,116,148,,,,,,,,,,,,,,
6/14/2014,0,0,0,294,94,62,,233,230,220,161,201,,,,,,,,,,,,,,
6/15/2014,0,0,0,250,61,58,,154,160,170,116,143,,,,,,,,,,,,,,
6/16/2014,0,0,0,289,89,69,,203,210,210,148,188,,,,,,,,1,,,,,,
6/17/2014,0,0,0,300,167,62,,238,220,230,134,174,,,,,,,,,,,,,,
6/18/2014,0,0,0,294,111,68,,235,310,300,161,206,,,,,,,,,,,,,,
6/19/2014,0,0,0,272,78,56,,172,160,140,116,170,,,,,,,,,,,,,,
6/20/2014,0,0,0,311,117,37,,218,160,130,81,103,,,,,,,,,,,,,,
6/21/2014,0,0,0,289,144,33,,224,60,340,98,130,,,1,,,,,,,,,,,
6/22/2014,15,0,0,278,117,38,,196,340,340,161,188,,,1,,,,,,,,,,,
6/23/2014,8,0,0,233,100,41,,167,150,160,103,143,,,1,,,,,,,,,,,
6/24/2014,0,0,0,272,100,37,,171,120,330,116,148,,,1,,,,,,,,,,,
6/25/2014,0,0,0,283,117,36,,193,40,40,148,183,,,1,,,,,,,,,,,
6/26/2014,0,0,0,339,117,40,,227,270,270,139,183,,,1,,,,,,,,,,,
6/27/2014,0,0,0,283,156,52,,230,80,80,112,139,,,,,,,,,,,,,,
6/28/2014,0,0,0,300,106,31,,199,160,130,76,103,,,,,,,,,,,,,,
6/29/2014,0,0,0,356,122,47,,237,240,240,125,161,,,,,,,,,,,,,,
6/30/2014,5,0,0,350,150,55,,269,50,40,165,192,,,,,,,,,,,,,,
7/1/2014,0,0,0,228,128,35,,178,150,150,89,112,,,,,,,,,,,,,,
7/2/2014,0,0,0,194,133,41,,168,120,130,72,85,,,,,,,,,,,,,,
7/3/2014,122,0,0,317,100,36,,196,320,330,148,192,,,,,1,,,,,,,,,
7/4/2014,20,0,0,322,150,43,,222,190,130,143,201,,,1,,,,,,,,,,,
7/5/2014,0,0,0,333,133,43,,237,40,40,107,134,,,,,,,,,,,,,,
7/6/2014,0,0,0,344,167,38,,257,340,360,125,174,,,,,,,,,,,,,,
7/7/2014,0,0,0,350,161,41,,260,360,10,134,165,,,,,,,,,,,,,,
7/8/2014,3,0,0,233,117,50,,193,150,160,130,143,,,,,,,,,,,,,,
7/9/2014,0,0,0,317,111,39,,192,230,220,130,157,,,1,,,,,,,,,,,
7/10/2014,0,0,0,333,128,40,,246,90,80,98,125,,,,,,,,,,,,,,
7/11/2014,28,0,0,333,189,58,,251,340,340,134,183,,,1,,,,,,,,,,,
7/12/2014,135,0,0,300,161,31,,211,30,30,157,183,,,,,,,,,,,,,,
7/13/2014,5,0,0,261,144,34,,196,170,90,54,76,,,1,,,,,,,,,,,
7/14/2014,196,0,0,283,128,35,,208,200,210,170,228,,,,,1,,,,,,,,,
7/15/2014,28,0,0,178,139,38,,160,120,120,98,116,,,,,,,,,,,,,,
7/16/2014,198,0,0,256,117,34,,166,70,70,210,255,,,,,1,,,,,,,,,
7/17/2014,0,0,0,222,100,39,,160,20,140,81,98,,,,,,,,,,,,,,
7/18/2014,0,0,0,294,128,22,,193,30,360,94,125,,,,,,,,,,,,,,
7/19/2014,0,0,0,311,133,40,,214,60,70,130,170,,,1,,,,,,,,,,,
7/20/2014,0,0,0,333,156,39,,238,310,300,116,152,,,,,,,,,,,,,,
7/21/2014,0,0,0,317,172,33,,244,210,210,94,112,,,,,,,,,,,,,,
7/22/2014,0,0,0,328,144,35,,247,40,30,116,143,,,,,,,,,,,,,,
7/23/2014,0,0,0,322,156,43,,256,150,150,107,161,,,,,,,,,,,,,,
7/24/2014,0,0,0,350,150,43,,253,360,340,143,188,,,1,,,,,,,,,,,
7/25/2014,0,0,0,328,178,40,,252,300,300,143,183,,,1,,,,,,,,,,,
7/26/2014,0,0,0,328,156,52,,239,300,300,157,201,,,1,,,,,,,,,,,
7/27/2014,48,0,0,278,133,35,,217,160,150,165,215,,,,,,,,,,,,,,
7/28/2014,0,0,0,217,133,26,,183,160,190,63,112,,,,,,,,,,,,,,
7/29/2014,163,0,0,256,139,26,,191,70,120,81,98,,,,,,,,,,,,,,
7/30/2014,203,0,0,167,133,24,,155,80,60,67,81,1,,,,,,,,,,,,,
7/31/2014,28,0,0,194,133,17,,146,150,160,45,54,1,,,,,,,,,,,,,
8/1/2014,0,0,0,217,117,21,,175,130,120,54,67,,,,,,,,1,,,,,,
8/2/2014,0,0,0,250,106,34,,181,140,140,81,107,,,,,,,,,,,,,,
8/3/2014,0,0,0,267,111,32,,197,170,140,67,94,,,,,,,,,,,,,,
8/4/2014,3,0,0,283,139,39,,207,210,210,112,143,,,1,,,,,,,,,,,
8/5/2014,127,0,0,272,150,31,,205,310,310,139,161,,,,,,,,,,,,,,
8/6/2014,0,0,0,289,128,26,,201,210,10,63,98,,,,,,,,,,,,,,
8/7/2014,64,0,0,261,156,34,,207,30,140,72,94,,,,,1,,,,,,,,,
8/8/2014,5,0,0,256,122,29,,186,170,180,112,148,,,,,,,,,,,,,,
8/9/2014,3,0,0,289,139,41,,211,20,20,139,174,,,1,,,,,,,,,,,
8/10/2014,142,0,0,244,122,39,,176,70,70,103,121,,,,,,,,,,,,,,
8/11/2014,0,0,0,250,106,26,,174,140,120,67,85,,,,,,,,,,,,,,
8/12/2014,0,0,0,294,117,25,,210,60,80,63,89,,,,,,,,,,,,,,
8/13/2014,0,0,0,294,128,33,,218,140,140,67,85,,,,,,,,,,,,,,
8/14/2014,8,0,0,289,161,45,,226,320,310,134,170,,,1,,,,,,,,,,,
8/15/2014,74,0,0,289,144,38,,217,280,270,125,143,,,,,,,,,,,,,,
8/16/2014,0,0,0,306,133,33,,213,350,350,72,85,,,,,,,,,,,,,,
8/17/2014,0,0,0,317,139,36,,227,350,350,215,259,,,1,,,,,,,,,,,
8/18/2014,0,0,0,311,133,41,,218,40,40,143,183,,,1,,,,,,,,,,,
8/19/2014,0,0,0,294,144,32,,210,320,310,107,139,,,1,,,,,,,,,,,
8/20/2014,0,0,0,306,156,31,,218,50,60,103,125,,,1,,,,,,,,,,,
8/21/2014,0,0,0,289,150,36,,219,340,340,81,103,,,,,,,,,,,,,,
8/22/2014,0,0,0,244,133,37,,207,60,60,98,121,,,,,,,,,,,,,,
8/23/2014,0,0,0,289,122,34,,192,290,290,103,134,,,,,,,,,,,,,,
8/24/2014,0,0,0,283,111,51,,199,180,170,107,148,,,1,,,,,,,,,,,
8/25/2014,165,0,0,261,117,49,,191,250,250,139,170,,,,,1,,,,,,,,,
8/26/2014,0,0,0,222,144,26,,169,310,310,67,81,,,1,,,,,,,,,,,
8/27/2014,0,0,0,272,128,38,,187,10,10,125,143,,,,,,,,,,,,,,
8/28/2014,5,0,0,239,100,31,,173,340,330,125,161,,,1,,,,,,,,,,,
8/29/2014,0,0,0,278,100,40,,177,360,360,134,165,,,1,,,,,,,,,,,
8/30/2014,0,0,0,294,89,27,,181,360,320,98,121,,,,,,,,,,,,,,
8/31/2014,0,0,0,289,128,38,,211,30,40,112,139,,,,,,,,,,,,,,
9/1/2014,0,0,0,256,111,43,,183,150,150,107,143,,,,,,,,,,,,,,
9/2/2014,0,0,0,272,122,43,,194,120,120,89,116,,,,,,,,,,,,,,
9/3/2014,0,0,0,333,122,41,,231,220,210,112,139,,,,,,,,,,,,,,
9/4/2014,0,0,0,272,133,48,,226,120,120,94,112,,,,,,,,,,,,,,
9/5/2014,5,0,0,133,89,39,,132,140,150,72,89,1,,,,,,,,,,,,,
9/6/2014,13,0,0,194,89,23,,119,150,40,54,72,1,,1,,,,,,,,,,,
9/7/2014,0,0,0,278,78,27,,162,330,330,161,197,,,1,,,,,,,,,,,
9/8/2014,8,0,0,261,133,33,,185,220,220,81,98,,,,,,,,,,,,,,
9/9/2014,0,0,0,294,128,39,,192,350,350,161,201,,,,,,,,,,,,,,
9/10/2014,0,0,0,206,111,40,,154,170,140,76,107,,,1,,,,,,,,,,,
9/11/2014,0,0,0,200,56,47,,138,170,170,103,130,1,,,,,,,1,,,,,,
9/12/2014,0,0,0,67,11,51,,57,20,20,103,116,,,,,,,,,,,,,,
9/13/2014,0,0,0,250,33,36,,106,140,160,76,103,,,,,,,,,,,,,,
9/14/2014,0,0,0,300,72,31,,177,200,210,76,98,,,,,,,,,,,,,,
9/15/2014,0,0,0,211,117,59,,178,340,340,125,152,1,,1,,,,,,,,,,,
9/16/2014,0,0,0,311,100,26,,179,90,80,67,85,1,,,,,,,1,,,,,,
9/17/2014,0,0,0,311,117,35,,211,90,90,125,143,,,1,,,,,,,,,,,
9/18/2014,0,0,0,300,122,43,,214,150,150,98,116,,,,,,,,,,,,,,
9/19/2014,0,0,0,306,106,30,,208,50,30,103,139,,,,,,,,,,,,,,
9/20/2014,0,0,0,283,161,41,,221,90,90,89,103,,,,,,,,,,,,,,
9/21/2014,3,0,0,222,139,54,,186,160,170,107,130,,,,,,,,,,,,,,
9/22/2014,0,0,0,244,122,34,,171,180,180,89,103,,,,,,,,,,,,,,
9/23/2014,0,0,0,289,100,35,,189,20,300,89,125,,,,,,,,1,,,,,,
9/24/2014,0,0,0,283,111,23,,196,130,160,58,76,,,,,,,,,,,,,,
